MOIS;THEMATIQUES;TF1;France 2;France 3;Canal +;Arte;M6;Totaux
july-08;Politique France;70;80;54;29;20;27;280
july-08;Santé;24;22;8;11;0;7;72
july-08;Sciences et techniques;32;23;17;12;11;18;113
july-08;Société;134;99;77;52;53;63;478
july-08;Sport;104;113;70;54;12;44;397
august-08;Catastrophes;48;50;24;15;11;22;170
august-08;Culture-loisirs;38;51;20;11;1;20;141
august-08;Economie;43;40;28;18;14;12;155
august-08;Education;19;7;4;4;;2;36
august-08;Environnement;20;17;14;6;6;5;68
august-08;Faits divers;27;18;12;11;2;18;88
august-08;Histoire-hommages;8;13;11;6;7;4;49
august-08;International;115;119;92;74;151;45;596
august-08;Justice;18;24;20;13;17;12;104
august-08;Politique France;14;16;11;4;3;10;58
august-08;Santé;19;17;9;7;2;8;62
august-08;Sciences et techniques;9;12;5;11;3;6;46
august-08;Société;92;76;63;37;39;41;348
august-08;Sport;128;149;88;56;17;63;501
september-08;Catastrophes;49;49;33;20;21;27;199
september-08;Culture-loisirs;55;72;50;20;5;28;230
september-08;Economie;122;127;76;62;65;45;497
september-08;Education;40;26;10;12;3;19;110
september-08;Environnement;32;29;17;7;3;9;97
september-08;Faits divers;51;57;38;20;6;31;203
september-08;Histoire-hommages;9;14;2;4;6;4;39
september-08;International;75;107;64;79;158;35;518
september-08;Justice;26;25;16;22;6;14;109
september-08;Politique France;43;60;47;25;12;16;203
september-08;Santé;42;35;14;11;5;20;127
september-08;Sciences et techniques;18;13;7;6;10;6;60
september-08;Société;125;112;75;69;38;50;469
september-08;Sport;63;59;23;16;1;32;194
october-08;Catastrophes;7;5;4;6;5;3;30
october-08;Culture-loisirs;51;65;33;18;4;25;196
october-08;Economie;128;154;97;85;76;66;606
october-08;Education;14;6;6;5;4;6;41
october-08;Environnement;27;19;4;1;8;5;64
october-08;Faits divers;22;15;11;15;1;12;76
october-08;Histoire-hommages;25;20;14;10;7;10;86
october-08;International;55;72;34;69;109;12;351
october-08;Justice;49;49;37;36;20;34;225
october-08;Politique France;19;27;18;5;4;6;79
october-08;Santé;29;31;15;9;2;13;99
october-08;Sciences et techniques;11;4;4;1;3;6;29
october-08;Société;115;97;63;53;30;59;417
october-08;Sport;47;45;22;13;1;23;151
november-08;Catastrophes;27;28;13;6;5;10;89
november-08;Culture-loisirs;55;50;38;24;2;27;196
november-08;Economie;79;66;46;45;51;28;315
november-08;Education;12;8;6;2;4;4;36
november-08;Environnement;20;21;9;5;3;9;67
november-08;Faits divers;42;35;26;34;8;25;170
november-08;Histoire-hommages;8;11;6;3;6;5;39
november-08;International;102;139;61;69;130;35;536
november-08;Justice;26;28;24;29;18;19;144
november-08;Politique France;41;57;43;38;14;23;216
november-08;Santé;21;15;7;7;2;8;60
november-08;Sciences et techniques;11;11;9;6;6;10;53
november-08;Société;133;111;63;74;38;64;483
november-08;Sport;56;45;20;19;0;27;167
december-08;Catastrophes;43;40;14;9;2;13;121
december-08;Culture-loisirs;83;75;53;27;7;39;284
december-08;Economie;91;104;59;47;47;26;374
december-08;Education;19;14;19;7;1;9;69
december-08;Environnement;62;55;27;14;10;10;178
december-08;Faits divers;48;46;39;36;10;43;222
december-08;Histoire-hommages;5;3;3;4;5;4;24
december-08;International;88;104;74;88;165;29;548
december-08;Justice;38;52;29;52;22;26;219
december-08;Politique France;20;34;23;19;7;14;117
december-08;Santé;42;43;16;15;10;21;147
december-08;Sciences et techniques;8;8;8;3;4;2;33
december-08;Société;172;137;100;80;55;75;619
december-08;Sport;51;54;37;20;0;36;198
january-09;Catastrophes;70;66;41;18;5;33;233
january-09;Culture-loisirs;47;48;37;18;2;25;177
january-09;Economie;52;44;30;41;42;19;228
january-09;Education;19;12;12;8;5;13;69
january-09;Environnement;22;20;13;15;2;14;86
january-09;Faits divers;29;26;17;28;5;24;129
january-09;Histoire-hommages;10;7;4;4;5;1;31
january-09;International;93;135;92;93;150;56;619
january-09;Justice;21;19;16;22;8;11;97
january-09;Politique France;26;22;17;11;6;12;94
january-09;Santé;27;30;14;13;5;15;104
january-09;Sciences et techniques;11;2;8;0;2;3;26
january-09;Société;110;97;67;70;34;38;416
january-09;Sport;40;51;21;17;0;24;153
february-09;Catastrophes;49;33;21;16;7;15;141
february-09;Culture-loisirs;47;40;31;21;5;29;173
february-09;Economie;99;83;51;62;49;38;382
february-09;Education;16;19;9;12;5;5;66
february-09;Environnement;15;25;7;12;2;6;67
february-09;Faits divers;26;33;18;26;2;20;125
february-09;Histoire-hommages;7;4;4;3;10;1;29
february-09;International;46;52;40;54;127;23;342
february-09;Justice;44;45;44;54;13;36;236
february-09;Politique France;15;25;14;12;5;9;80
february-09;Santé;17;15;7;4;2;12;57
february-09;Sciences et techniques;15;6;7;4;1;8;41
february-09;Société;133;126;94;66;56;69;544
february-09;Sport;51;48;32;16;0;28;175
march-09;Catastrophes;23;17;12;12;1;19;84
march-09;Culture-loisirs;67;65;50;29;5;33;249
march-09;Economie;101;116;93;76;53;40;479
march-09;Education;27;15;15;7;8;10;82
march-09;Environnement;40;19;12;6;10;9;96
march-09;Faits divers;37;33;27;23;11;27;158
march-09;Histoire-hommages;9;14;7;4;6;5;45
march-09;International;66;89;51;81;153;25;465
march-09;Justice;41;57;45;56;36;30;265
march-09;Politique France;25;33;23;10;6;13;110
march-09;Santé;34;38;14;8;4;16;114
march-09;Sciences et techniques;22;14;10;11;8;10;75
march-09;Société;174;146;113;86;47;93;659
march-09;Sport;64;56;21;9;1;28;179
april-09;Catastrophes;35;32;23;17;10;20;137
april-09;Culture-loisirs;48;53;36;21;6;26;190
april-09;Economie;52;49;44;23;38;33;239
april-09;Education;11;11;8;4;2;6;42
april-09;Environnement;11;7;3;0;6;4;31
april-09;Faits divers;21;28;24;15;5;21;114
april-09;Histoire-hommages;8;9;7;8;5;4;41
april-09;International;72;93;69;66;142;41;483
april-09;Justice;27;27;26;30;6;19;135
april-09;Politique France;19;22;18;12;4;12;87
april-09;Santé;65;66;31;21;13;18;214
april-09;Sciences et techniques;15;7;6;6;3;2;39
april-09;Société;116;108;81;54;29;71;459
april-09;Sport;37;37;25;15;1;20;135
may-09;Catastrophes;14;16;14;7;5;8;64
may-09;Culture-loisirs;61;68;47;24;3;34;237
may-09;Economie;53;53;30;25;36;20;217
may-09;Education;31;28;16;20;1;15;111
may-09;Environnement;32;21;7;6;1;6;73
may-09;Faits divers;40;37;33;22;3;28;163
may-09;Histoire-hommages;13;12;7;7;11;6;56
may-09;International;71;72;74;56;142;17;432
may-09;Justice;26;41;29;17;11;20;144
may-09;Politique France;10;22;11;4;3;3;53
may-09;Santé;43;51;34;11;12;21;172
may-09;Sciences et techniques;18;15;8;7;1;10;59
may-09;Société;128;121;75;63;50;63;500
may-09;Sport;43;52;26;15;1;31;168
june-09;Catastrophes;128;131;71;58;22;42;452
june-09;Culture-loisirs;56;48;35;16;3;25;183
june-09;Economie;54;45;29;19;48;20;215
june-09;Education;19;14;10;5;4;12;64
june-09;Environnement;11;14;8;2;7;7;49
june-09;Faits divers;20;15;15;17;6;16;89
june-09;Histoire-hommages;65;64;28;22;12;22;213
june-09;International;79;120;96;74;197;25;591
june-09;Justice;36;33;33;27;15;31;175
june-09;Politique France;45;53;39;18;8;10;173
june-09;Santé;58;38;23;8;5;15;147
june-09;Sciences et techniques;9;5;2;2;2;5;25
june-09;Société;103;73;63;41;31;56;367
june-09;Sport;72;62;34;14;0;46;228
july-09;Catastrophes;56;57;42;26;6;23;210
july-09;Culture-loisirs;63;56;32;20;8;23;202
july-09;Economie;47;47;30;17;26;22;189
july-09;Education;7;8;8;2;0;6;31
july-09;Environnement;33;21;13;14;9;9;99
july-09;Faits divers;35;36;18;18;1;24;132
july-09;Histoire-hommages;52;35;8;14;9;11;129
july-09;International;29;47;41;49;146;10;322
july-09;Justice;15;20;24;25;12;10;106
july-09;Politique France;36;38;34;22;10;19;159
july-09;Santé;33;38;23;12;6;18;130
july-09;Sciences et techniques;27;25;16;9;10;11;98
july-09;Société;91;82;60;58;38;39;368
july-09;Sport;66;67;37;34;0;40;244
august-09;Catastrophes;33;48;28;19;10;21;159
august-09;Culture-loisirs;62;33;29;12;1;27;164
august-09;Economie;80;67;47;33;26;19;272
august-09;Education;14;7;8;3;2;5;39
august-09;Environnement;43;30;16;9;6;10;114
august-09;Faits divers;40;40;39;34;9;40;202
august-09;Histoire-hommages;19;19;8;10;13;6;75
august-09;International;51;75;56;56;131;25;394
august-09;Justice;18;16;10;21;16;7;88
august-09;Politique France;26;27;24;14;6;12;109
august-09;Santé;36;33;34;22;11;23;159
august-09;Sciences et techniques;7;8;5;2;3;2;27
august-09;Société;87;92;44;40;26;49;338
august-09;Sport;58;49;24;17;0;25;173
september-09;Catastrophes;57;41;28;13;8;18;165
september-09;Culture-loisirs;74;70;42;17;2;41;246
september-09;Economie;80;69;54;47;37;34;321
september-09;Education;28;22;6;10;3;17;86
september-09;Environnement;35;27;23;14;9;15;123
september-09;Faits divers;30;39;28;26;3;22;148
september-09;Histoire-hommages;11;21;6;9;12;14;73
september-09;International;57;88;55;60;186;43;489
september-09;Justice;50;45;44;38;17;44;238
september-09;Politique France;54;51;44;32;16;32;229
september-09;Santé;59;58;48;25;7;35;232
september-09;Sciences et techniques;22;10;6;1;6;5;50
september-09;Société;88;108;62;66;29;72;425
september-09;Sport;70;55;20;25;4;58;232
october-09;Catastrophes;34;30;19;11;5;14;113
october-09;Culture-loisirs;53;51;38;11;3;19;175
october-09;Economie;55;50;25;30;24;24;208
october-09;Education;10;15;8;5;3;10;51
october-09;Environnement;26;18;14;10;11;4;83
october-09;Faits divers;19;18;12;18;0;18;85
october-09;Histoire-hommages;4;6;3;3;7;3;26
october-09;International;44;63;50;46;145;42;390
october-09;Justice;67;54;50;62;20;65;318
october-09;Politique France;36;54;28;21;14;41;194
october-09;Santé;45;24;20;17;11;18;135
october-09;Sciences et techniques;16;12;12;5;11;10;66
october-09;Société;103;79;75;61;30;86;434
october-09;Sport;61;42;25;15;0;50;193
november-09;Catastrophes;34;21;14;4;5;13;91
november-09;Culture-loisirs;51;45;32;11;4;16;159
november-09;Economie;45;35;23;13;17;32;165
november-09;Education;6;4;7;3;1;0;21
november-09;Environnement;27;22;9;8;9;9;84
november-09;Faits divers;43;43;22;20;2;46;176
november-09;Histoire-hommages;26;32;39;10;31;17;155
november-09;International;29;45;37;48;111;36;306
november-09;Justice;38;36;38;26;24;42;204
november-09;Politique France;27;34;32;19;10;18;140
november-09;Santé;58;63;37;24;8;33;223
november-09;Sciences et techniques;13;11;3;1;6;2;36
november-09;Société;105;88;50;50;40;81;414
november-09;Sport;75;56;25;30;5;76;267
december-09;Catastrophes;63;45;30;13;3;29;183
december-09;Culture-loisirs;61;65;43;9;4;26;208
december-09;Economie;62;46;28;17;36;26;215
december-09;Education;6;4;5;2;4;2;23
december-09;Environnement;63;53;58;27;32;29;262
december-09;Faits divers;50;53;41;23;5;55;227
december-09;Histoire-hommages;5;10;7;5;11;3;41
december-09;International;52;72;51;60;150;40;425
december-09;Justice;53;26;25;17;20;39;180
december-09;Politique France;23;27;11;4;5;22;92
december-09;Santé;54;57;35;21;9;45;221
december-09;Sciences et techniques;6;10;3;3;3;3;28
december-09;Société;159;166;101;76;49;122;673
december-09;Sport;43;43;16;16;0;56;174
january-10;Catastrophes;162;129;93;54;40;94;572
january-10;Culture-loisirs;50;38;31;8;60;23;210
january-10;Economie;37;28;21;19;26;33;164
january-10;Education;18;12;14;7;0;9;60
january-10;Environnement;36;24;16;6;5;16;103
january-10;Faits divers;22;18;19;7;0;28;94
january-10;Histoire-hommages;10;21;18;10;6;9;74
january-10;International;42;54;36;50;96;36;314
january-10;Justice;28;20;8;13;15;15;99
january-10;Politique France;37;29;31;17;6;19;139
january-10;Santé;20;16;20;6;8;16;86
january-10;Sciences et techniques;9;4;2;4;3;4;26
january-10;Société;104;96;64;62;45;73;444
january-10;Sport;48;37;12;2;1;37;137
february-10;Catastrophes;65;52;37;26;11;35;226
february-10;Culture-loisirs;56;42;25;18;96;21;258
february-10;Economie;47;39;21;27;32;26;192
february-10;Education;25;15;17;15;4;15;91
february-10;Environnement;34;20;13;4;3;13;87
february-10;Faits divers;28;16;21;12;8;27;112
february-10;Histoire-hommages;13;4;8;8;7;6;46
february-10;International;34;47;36;44;81;31;273
february-10;Justice;29;24;31;10;10;27;131
february-10;Politique France;38;43;31;14;6;20;152
february-10;Santé;14;11;9;7;3;11;55
february-10;Sciences et techniques;11;12;3;5;4;7;42
february-10;Société;111;134;73;70;49;83;520
february-10;Sport;60;69;26;12;4;61;232
march-10;Catastrophes;134;98;78;42;11;69;432
march-10;Culture-loisirs;50;47;29;13;90;27;256
march-10;Economie;48;50;31;25;56;24;234
march-10;Education;14;12;8;5;3;12;54
march-10;Environnement;33;25;22;10;9;18;117
march-10;Faits divers;30;29;20;24;8;37;148
march-10;Histoire-hommages;15;15;7;4;6;5;52
march-10;International;37;49;43;43;123;30;325
march-10;Justice;39;38;31;28;17;34;187
march-10;Politique France;75;98;75;32;20;69;369
march-10;Santé;22;23;13;8;3;21;90
march-10;Sciences et techniques;10;6;5;6;5;6;38
march-10;Société;126;88;77;65;51;86;493
march-10;Sport;46;65;24;19;0;60;214
april-10;Catastrophes;87;68;46;21;20;50;292
april-10;Culture-loisirs;51;39;22;6;74;27;219
april-10;Economie;41;42;26;18;21;34;182
april-10;Education;16;10;6;3;4;12;51
april-10;Environnement;29;28;21;11;5;13;107
april-10;Faits divers;26;18;22;16;0;35;117
april-10;Histoire-hommages;12;18;13;8;13;13;77
april-10;International;33;50;38;40;112;20;293
april-10;Justice;31;21;23;26;11;30;142
april-10;Politique France;15;12;4;5;2;7;45
april-10;Santé;15;18;18;4;0;12;67
april-10;Sciences et techniques;9;4;3;0;4;7;27
april-10;Société;184;174;125;78;56;129;746
april-10;Sport;39;33;16;14;0;44;146
may-10;Catastrophes;30;23;17;13;14;19;116
may-10;Culture-loisirs;53;49;37;11;79;37;266
may-10;Economie;49;79;34;29;37;52;280
may-10;Education;11;12;9;3;0;10;45
may-10;Environnement;74;47;39;23;23;40;246
may-10;Faits divers;39;27;21;19;1;33;140
may-10;Histoire-hommages;9;8;6;0;7;3;33
may-10;International;52;87;51;54;92;39;375
may-10;Justice;26;37;22;21;5;32;143
may-10;Politique France;15;14;9;3;2;16;59
may-10;Santé;21;17;13;5;6;11;73
may-10;Sciences et techniques;11;2;3;3;3;3;25
may-10;Société;123;95;76;53;38;60;445
may-10;Sport;64;66;31;18;0;56;235
june-10;Catastrophes;64;45;33;28;8;41;219
june-10;Culture-loisirs;35;32;31;11;86;23;218
june-10;Economie;36;38;36;16;20;29;175
june-10;Education;19;16;10;6;5;11;67
june-10;Environnement;40;20;12;9;21;20;122
june-10;Faits divers;37;28;19;20;3;40;147
june-10;Histoire-hommages;17;18;15;10;7;14;81
june-10;International;58;68;65;53;150;36;430
june-10;Justice;25;38;39;30;17;39;188
june-10;Politique France;33;52;33;19;8;22;167
june-10;Santé;17;11;9;8;4;10;59
june-10;Sciences et techniques;6;6;5;6;2;6;31
june-10;Société;100;86;79;42;28;70;405
june-10;Sport;178;160;93;76;17;127;651
july-10;Catastrophes;38;28;20;18;9;31;144
july-10;Culture-loisirs;59;51;40;14;90;28;282
july-10;Economie;31;23;14;11;17;19;115
july-10;Education;5;5;3;3;2;8;26
july-10;Environnement;43;29;20;11;16;23;142
july-10;Faits divers;32;28;22;14;7;26;129
july-10;Histoire-hommages;10;20;10;4;3;10;57
july-10;International;29;64;55;35;87;27;297
july-10;Justice;25;40;20;36;10;44;175
july-10;Politique France;65;64;51;36;17;36;269
july-10;Santé;26;26;14;11;2;21;100
july-10;Sciences et techniques;12;4;3;4;2;7;32
july-10;Société;83;87;65;52;32;86;405
july-10;Sport;74;85;61;44;5;69;338
august-10;Catastrophes;75;88;69;61;55;58;406
august-10;Culture-loisirs;65;51;41;11;84;32;284
august-10;Economie;67;66;32;26;19;36;246
august-10;Education;24;20;17;5;1;19;86
august-10;Environnement;50;29;14;10;19;20;142
august-10;Faits divers;37;28;23;15;3;35;141
august-10;Histoire-hommages;13;6;3;4;8;4;38
august-10;International;37;71;57;35;99;37;336
august-10;Justice;22;27;25;15;4;28;121
august-10;Politique France;59;73;46;51;18;46;293
august-10;Santé;16;13;16;6;3;12;66
august-10;Sciences et techniques;12;9;8;4;2;8;43
august-10;Société;138;105;80;60;28;82;493
august-10;Sport;80;73;55;41;0;64;313
september-10;Catastrophes;25;24;15;10;9;20;103
september-10;Culture-loisirs;60;45;40;9;74;37;265
september-10;Economie;45;32;29;20;13;19;158
september-10;Education;19;11;8;3;1;9;51
september-10;Environnement;19;14;5;7;2;4;51
september-10;Faits divers;19;19;20;9;3;27;97
september-10;Histoire-hommages;17;12;13;7;13;13;75
september-10;International;70;98;81;58;115;43;465
september-10;Justice;24;27;29;24;4;29;137
september-10;Politique France;40;45;26;23;11;28;173
september-10;Santé;24;24;17;5;1;17;88
september-10;Sciences et techniques;12;9;4;4;7;3;39
september-10;Société;123;114;106;80;51;90;564
september-10;Sport;43;35;20;10;0;40;148
october-10;Catastrophes;31;27;14;15;12;28;127
october-10;Culture-loisirs;52;43;35;10;86;42;268
october-10;Economie;32;32;18;12;16;14;124
october-10;Education;9;5;2;2;0;1;19
october-10;Environnement;28;16;18;8;12;14;96
october-10;Faits divers;22;16;26;13;0;25;102
october-10;Histoire-hommages;10;9;6;3;7;3;38
october-10;International;28;61;44;36;94;16;279
october-10;Justice;24;24;34;24;8;27;141
october-10;Politique France;12;11;9;4;5;6;47
october-10;Santé;19;24;15;10;4;16;88
october-10;Sciences et techniques;12;9;6;1;4;13;45
october-10;Société;229;261;186;117;67;137;997
october-10;Sport;37;32;18;6;0;18;111
november-10;Catastrophes;61;67;50;20;6;41;245
november-10;Culture-loisirs;65;46;29;14;88;48;290
november-10;Economie;57;44;45;24;36;23;229
november-10;Education;16;17;13;5;3;10;64
november-10;Environnement;60;45;43;16;6;13;183
november-10;Faits divers;43;38;36;20;7;42;186
november-10;Histoire-hommages;15;7;6;6;8;8;50
november-10;International;72;101;93;56;117;49;488
november-10;Justice;35;32;35;25;13;31;171
november-10;Politique France;66;88;58;28;14;29;283
november-10;Santé;30;32;31;10;11;18;132
november-10;Sciences et techniques;19;15;8;7;15;11;75
november-10;Société;122;156;96;74;49;120;617
november-10;Sport;58;55;36;11;1;42;203
december-10;Catastrophes;134;109;98;37;8;59;445
december-10;Culture-loisirs;70;36;22;8;65;39;240
december-10;Economie;35;35;26;14;19;24;153
december-10;Education;6;10;4;4;4;6;34
december-10;Environnement;26;27;21;12;7;26;119
december-10;Faits divers;22;16;20;18;0;24;100
december-10;Histoire-hommages;5;8;2;6;6;4;31
december-10;International;56;102;94;48;110;46;456
december-10;Justice;24;37;30;25;18;26;160
december-10;Politique France;27;31;32;7;4;8;109
december-10;Santé;17;22;22;5;2;14;82
december-10;Sciences et techniques;6;5;3;3;0;5;22
december-10;Société;115;98;73;47;33;63;429
december-10;Sport;23;20;9;6;1;15;74
january-11;Catastrophes;41;32;28;21;8;25;155
january-11;Culture-loisirs;60;41;37;5;75;56;274
january-11;Economie;50;27;24;18;20;16;155
january-11;Education;13;12;8;4;1;11;49
january-11;Environnement;14;8;9;3;1;7;42
january-11;Faits divers;38;43;37;16;4;44;182
january-11;Histoire-hommages;13;8;6;1;5;3;36
january-11;International;145;201;133;82;153;99;813
january-11;Justice;24;28;23;20;3;18;116
january-11;Politique France;29;46;31;9;4;16;135
january-11;Santé;33;27;22;13;5;28;128
january-11;Sciences et techniques;6;6;9;2;1;3;27
january-11;Société;89;83;55;38;23;66;354
january-11;Sport;36;39;16;2;1;13;107
february-11;Catastrophes;25;18;19;13;2;10;87
february-11;Culture-loisirs;50;37;20;5;73;42;227
february-11;Economie;49;44;36;14;5;18;166
february-11;Education;9;8;12;5;0;7;41
february-11;Environnement;18;11;7;1;0;11;48
february-11;Faits divers;48;43;45;18;1;56;211
february-11;Histoire-hommages;8;9;3;2;9;2;33
february-11;International;160;225;142;110;187;86;910
february-11;Justice;40;43;38;35;8;37;201
february-11;Politique France;30;42;21;24;4;16;137
february-11;Santé;25;19;12;8;4;20;88
february-11;Sciences et techniques;11;5;8;5;3;9;41
february-11;Société;78;52;50;33;22;65;300
february-11;Sport;43;52;25;12;0;31;163
march-11;Catastrophes;94;83;58;44;16;77;372
march-11;Culture-loisirs;59;45;22;4;79;50;259
march-11;Economie;62;37;29;21;7;39;195
march-11;Education;9;11;5;3;1;9;38
march-11;Environnement;120;121;69;28;48;80;466
march-11;Faits divers;30;36;30;14;1;41;152
march-11;Histoire-hommages;15;12;10;3;4;7;51
march-11;International;179;218;142;105;193;97;934
march-11;Justice;19;24;22;19;9;27;120
march-11;Politique France;77;123;83;29;8;47;367
march-11;Santé;31;11;21;9;0;18;90
march-11;Sciences et techniques;7;13;7;2;7;9;45
march-11;Société;70;51;49;44;14;52;280
march-11;Sport;41;42;15;5;0;17;120
april-11;Catastrophes;22;20;15;12;5;16;90
april-11;Culture-loisirs;56;40;24;7;55;46;228
april-11;Economie;49;48;32;21;13;29;192
april-11;Education;10;5;8;1;1;1;26
april-11;Environnement;56;30;31;7;19;21;164
april-11;Faits divers;58;48;44;19;1;48;218
april-11;Histoire-hommages;6;5;3;1;6;3;24
april-11;International;115;184;114;91;163;64;731
april-11;Justice;18;22;21;16;8;22;107
april-11;Politique France;22;43;34;15;3;16;133
april-11;Santé;18;19;25;7;1;22;92
april-11;Sciences et techniques;12;10;11;6;12;6;57
april-11;Société;122;101;75;37;28;95;458
april-11;Sport;37;32;16;2;1;10;98
may-11;Catastrophes;44;33;22;21;4;17;141
may-11;Culture-loisirs;57;52;33;5;92;50;289
may-11;Economie;44;27;26;15;16;21;149
may-11;Education;20;18;11;3;3;10;65
may-11;Environnement;48;44;27;15;21;31;186
may-11;Faits divers;27;20;25;8;1;35;116
may-11;Histoire-hommages;16;15;15;5;10;10;71
may-11;International;120;157;128;86;172;94;757
may-11;Justice;131;130;81;51;25;78;496
may-11;Politique France;64;71;48;29;4;44;260
may-11;Santé;36;44;36;15;7;35;173
may-11;Sciences et techniques;11;6;6;2;0;8;33
may-11;Société;114;87;61;32;38;99;431
may-11;Sport;59;72;41;13;8;41;234
june-11;Catastrophes;22;26;28;12;0;23;111
june-11;Culture-loisirs;43;30;20;5;70;42;210
june-11;Economie;53;51;42;16;26;28;216
june-11;Education;39;29;18;15;0;21;122
june-11;Environnement;38;24;12;7;11;16;108
june-11;Faits divers;43;37;30;18;0;37;165
june-11;Histoire-hommages;15;10;2;0;8;4;39
june-11;International;74;118;77;62;124;44;499
june-11;Justice;62;65;45;40;11;55;278
june-11;Politique France;50;74;48;24;5;37;238
june-11;Santé;48;38;31;11;7;42;177
june-11;Sciences et techniques;10;9;6;4;4;6;39
june-11;Société;90;88;53;53;29;60;373
june-11;Sport;47;39;22;4;3;26;141
july-11;Catastrophes;32;32;20;15;11;21;131
july-11;Culture-loisirs;68;39;28;11;27;44;217
july-11;Economie;67;65;49;30;23;28;262
july-11;Education;12;14;8;4;0;5;43
july-11;Environnement;23;29;21;12;5;16;106
july-11;Faits divers;33;21;18;13;1;35;121
july-11;Histoire-hommages;16;12;9;7;4;5;53
july-11;International;75;105;69;80;118;48;495
july-11;Justice;53;54;29;30;8;33;207
july-11;Politique France;38;60;43;29;5;26;201
july-11;Santé;14;11;10;5;0;8;48
july-11;Sciences et techniques;18;9;9;4;2;14;56
july-11;Société;91;84;68;49;22;92;406
july-11;Sport;67;67;43;30;3;45;255
august-11;Catastrophes;44;50;36;24;15;27;196
august-11;Culture-loisirs;77;50;26;7;44;45;249
august-11;Economie;129;136;79;52;42;63;501
august-11;Education;16;22;15;6;0;10;69
august-11;Environnement;48;32;23;6;9;21;139
august-11;Faits divers;49;54;57;29;1;69;259
august-11;Histoire-hommages;9;8;5;9;6;2;39
august-11;International;77;111;68;83;158;37;534
august-11;Justice;44;46;36;30;9;33;198
august-11;Politique France;36;28;38;17;2;20;141
august-11;Santé;18;17;18;14;3;20;90
august-11;Sciences et techniques;14;6;3;3;0;4;30
august-11;Société;137;124;92;79;38;125;595
august-11;Sport;81;57;41;24;1;31;235
september-11;Catastrophes;17;19;13;5;1;16;71
september-11;Culture-loisirs;49;39;27;14;58;46;233
september-11;Economie;78;92;39;51;41;37;338
september-11;Education;18;25;15;10;4;21;93
september-11;Environnement;23;17;5;6;6;11;68
september-11;Faits divers;28;29;32;10;0;42;141
september-11;Histoire-hommages;9;13;9;3;4;8;46
september-11;International;85;81;44;73;142;35;460
september-11;Justice;61;73;63;59;15;64;335
september-11;Politique France;49;55;53;34;7;35;233
september-11;Santé;23;14;22;11;5;9;84
september-11;Sciences et techniques;13;8;10;9;2;12;54
september-11;Société;71;71;43;53;20;56;314
september-11;Sport;61;53;29;21;0;33;197
october-11;Catastrophes;26;26;16;15;8;18;109
october-11;Culture-loisirs;53;31;23;15;62;49;233
october-11;Economie;63;65;37;40;37;41;283
october-11;Education;12;12;2;7;0;5;38
october-11;Environnement;23;13;10;10;3;10;69
october-11;Faits divers;30;34;21;14;3;37;139
october-11;Histoire-hommages;11;16;4;7;12;4;54
october-11;International;69;75;59;85;133;50;471
october-11;Justice;45;36;41;28;4;39;193
october-11;Politique France;91;140;74;43;10;50;408
october-11;Santé;20;10;11;2;3;17;63
october-11;Sciences et techniques;7;8;7;0;1;3;26
october-11;Société;86;74;57;73;33;78;401
october-11;Sport;75;63;33;18;0;36;225
november-11;Catastrophes;69;50;47;21;3;45;235
november-11;Culture-loisirs;58;50;29;10;80;64;291
november-11;Economie;95;105;71;43;33;58;405
november-11;Education;17;15;6;5;2;9;54
november-11;Environnement;32;39;16;11;11;10;119
november-11;Faits divers;60;51;46;19;14;57;247
november-11;Histoire-hommages;17;17;16;8;7;12;77
november-11;International;100;111;83;116;176;65;651
november-11;Justice;48;42;27;49;11;44;221
november-11;Politique France;43;66;34;28;4;26;201
november-11;Santé;22;21;20;11;1;20;95
november-11;Sciences et techniques;20;18;9;12;8;11;78
november-11;Société;121;102;78;71;48;111;531
november-11;Sport;44;33;16;11;0;24;128
december-11;Catastrophes;38;26;28;10;2;16;120
december-11;Culture-loisirs;68;42;33;8;47;42;240
december-11;Economie;67;73;48;37;18;32;275
december-11;Education;8;8;4;7;1;2;30
december-11;Environnement;20;20;16;8;8;11;83
december-11;Faits divers;35;37;33;17;1;37;160
december-11;Histoire-hommages;13;17;8;9;11;6;64
december-11;International;61;114;40;67;133;32;447
december-11;Justice;37;28;31;34;14;33;177
december-11;Politique France;26;30;27;22;7;19;131
december-11;Santé;23;33;18;11;2;22;109
december-11;Sciences et techniques;12;8;10;7;3;8;48
december-11;Société;149;125;90;80;25;122;591
december-11;Sport;38;27;11;14;1;23;114
january-12;Catastrophes;111;80;45;18;2;45;301
january-12;Culture-loisirs;73;59;38;16;33;60;279
january-12;Economie;99;111;78;64;31;56;439
january-12;Education;14;16;10;6;2;8;56
january-12;Environnement;26;50;15;16;5;23;135
january-12;Faits divers;29;27;33;12;3;49;153
january-12;Histoire-hommages;12;8;9;4;10;8;51
january-12;International;72;97;53;93;178;44;537
january-12;Justice;28;23;28;19;14;25;137
january-12;Politique France;79;103;82;52;13;46;375
january-12;Santé;32;29;17;11;3;19;111
january-12;Sciences et techniques;13;9;6;6;3;7;44
january-12;Société;111;105;74;61;38;78;467
january-12;Sport;47;44;24;7;0;26;148
february-12;Catastrophes;63;59;40;11;0;50;223
february-12;Culture-loisirs;50;36;29;17;36;52;220
february-12;Economie;65;68;52;30;26;35;276
february-12;Education;9;13;7;2;3;5;39
february-12;Environnement;57;47;22;7;6;19;158
february-12;Faits divers;25;19;17;5;5;31;102
